Date,Value,iValue,rolling_14d,AdjustedValue,iAdjusted,rolling_14d_adjusted,USD_TL
2022-04-29,35.94,35.94,36.802767857142854,2.4273287227145017,2.4273287227145017,2.4855986503905645,14.8064
2022-04-30,,35.85916666666667,36.68083333333333,,2.421722168570007,2.477212816201018,14.8073
2022-05-01,,35.77833333333333,36.5575,,2.416116295926131,2.468733539525398,14.8082
2022-05-02,,35.6975,36.432767857142856,,2.410511104658622,2.4601608374001698,14.8091
2022-05-03,,35.61666666666667,36.3066369047619,,2.404906594643259,2.451494726857657,14.81
2022-05-04,,35.53583333333333,36.17910714285714,,2.3993027657558508,2.442735224926044,14.8109
2022-05-05,,35.455,36.05017857142857,,2.3936996178722367,2.4338823486293744,14.8118
2022-05-06,,35.37416666666667,35.93078231292517,,2.3808161708619373,2.418278524224335,14.858
2022-05-07,,35.29333333333333,35.82091836734694,,2.371826606661634,2.407282034153605,14.880233333333331
2022-05-08,,35.2125,35.720586734693875,,2.3628638659371823,2.396958002569633,14.902466666666667
2022-05-09,,35.13166666666667,35.62978741496598,,2.353927828811746,2.387303424187152,14.9247
2022-05-10,,35.05083333333333,35.54852040816326,,2.3365664511254804,2.369743377652374,15.001
2022-05-11,34.97,34.97,35.47678571428571,2.297649787449326,2.297649787449326,2.330947359331251,15.2199
2022-05-12,,35.184,35.43564285714286,,2.2972505337660047,2.3136809193927057,15.3157
2022-05-13,,35.397999999999996,35.39692857142857,,2.3015305392647685,2.301460876414388,15.3802
2022-05-14,,35.612,35.37927380952381,,2.3111668757841906,2.2960632853496175,15.408666666666669
2022-05-15,,35.826,35.38267857142857,,2.3207676727544406,2.292049813097546,15.437133333333334
2022-05-16,36.04,36.04,35.40714285714286,2.330333126422512,2.330333126422512,2.2894128166474537,15.4656
2022-05-17,,36.238749999999996,35.45157738095238,,2.3242035928911804,2.273717595735759,15.5919
2022-05-18,,36.4375,35.51598214285714,,2.3036776653115933,2.245416804778192,15.8171
2022-05-19,,36.636250000000004,35.60035714285714,,2.306611094146942,2.241391483607291,15.88315
2022-05-20,,36.835,35.704702380952384,,2.309520226719836,2.238651617695708,15.9492
2022-05-21,,37.03375,35.82901785714286,,2.3217681601604943,2.246239521261986,15.950666666666669
2022-05-22,,37.2325,35.973303571428566,,2.334013841408882,2.255077914642257,15.952133333333332
2022-05-23,,37.431250000000006,36.13755952380952,,2.34625727108615,2.265166452951655,15.9536
2022-05-24,37.63,37.63,36.32178571428572,2.36994583700718,2.36994583700718,2.287554207978695,15.878
2022-05-25,,37.66285714285714,36.514132653061225,,2.3373480089898,2.2660584387663283,16.1135
2022-05-26,,37.69571428571429,36.693540816326525,,2.3131455781812003,2.2516485838089952,16.2963
2022-05-27,,37.72857142857143,36.86001020408163,,2.3008733909785897,2.247904266143109,16.3975
2022-05-28,,37.761428571428574,37.01354081632653,,2.303823203598077,2.258194602428188,16.390766666666668
2022-05-29,,37.794285714285714,37.15413265306122,,2.3067754407819225,2.2677036781578743,16.384033333333335
2022-05-30,,37.82714285714286,37.28178571428572,,2.3097301055206203,2.276430529714038,16.3773
2022-05-31,37.86,37.86,37.39758928571429,2.310551273366411,2.310551273366411,2.2823308913085367,16.3857
2022-06-01,,38.870000000000005,37.571339285714295,,2.367653239609919,2.2885490912350104,16.4171
2022-06-02,39.88,39.88,37.80303571428572,2.425451427111779,2.425451427111779,2.2991330722761245,16.4423
2022-06-03,,39.902,38.02210714285714,,2.422913908893288,2.308763777300872,16.4686
2022-06-04,,39.924,38.22855357142857,,2.422406226109046,2.3195342697768706,16.481133333333332
2022-06-05,,39.946000000000005,38.422375,,2.4218993148885435,2.3295229482023405,16.493666666666666
2022-06-06,,39.968,38.603571428571435,,2.42139317347421,2.3387315934964703,16.5062
2022-06-07,39.99,39.99,38.77214285714286,2.4106771476969264,2.4106771476969264,2.3372622843949715,16.5887
2022-06-08,,39.96,38.93622448979592,,2.387310690922126,2.326147772488331,16.7385
2022-06-09,39.93,39.93,39.09581632653061,2.33192393945057,2.33192393945057,2.2832073634910888,17.1232
2022-06-10,,40.114,39.26620408163266,,2.328216140921094,2.2790100746761457,17.2295
2022-06-11,,40.298,39.44738775510204,,2.3452431297843197,2.2957396178617095,17.18286666666667
2022-06-12,,40.482,39.639367346938776,,2.3623627907338642,2.313190219570157,17.136233333333333
2022-06-13,,40.666000000000004,39.84214285714286,,2.379575882408014,2.3313677825778756,17.0896
2022-06-14,40.85,40.85,40.055714285714295,2.366003683667914,2.366003683667914,2.3199992056780783,17.2654
2022-06-15,,40.846666666666664,40.19690476190476,,2.3658243220023203,2.328190344905954,17.2653
2022-06-16,,40.843333333333334,40.26571428571429,,2.362538731328463,2.32912697815896,17.2879
2022-06-17,,40.84,40.33271428571429,,2.3580902009919686,2.3287996654395604,17.3191
2022-06-18,,40.836666666666666,40.39790476190477,,2.357784287083476,2.332451516089637,17.31993333333333
2022-06-19,,40.83333333333333,40.461285714285715,,2.3574784026111235,2.3359985439993447,17.320766666666668
2022-06-20,40.83,40.83,40.52285714285715,2.3571725475706633,2.3571725475706633,2.3394407642975907,17.3216
2022-06-21,40.77,40.77,40.57857142857143,2.3508721349286437,2.3508721349286437,2.3398340163512428,17.3425
2022-06-22,,40.385000000000005,40.60892857142857,,2.3279340557989396,2.340842089660397,17.348
2022-06-23,40.0,40.0,40.61392857142857,2.3039749327527317,2.3039749327527317,2.339336833729535,17.3613
2022-06-24,,40.105714285714285,40.613336734693874,,2.307817511923806,2.3370278127017685,17.3782
2022-06-25,,40.21142857142857,40.607153061224494,,2.313860722814315,2.3366316460698275,17.3785
2022-06-26,,40.317142857142855,40.59537755102041,,2.319903725064035,2.335913731156375,17.378800000000002
2022-06-27,,40.42285714285715,40.57801020408163,,2.325946518683772,2.334874084623578,17.3791
2022-06-28,,40.52857142857143,40.55505102040816,,2.430353287873077,2.431941174166956,16.676
2022-06-29,,40.63428571428572,40.539880952380955,,2.4406735448972725,2.435003180552409,16.6488
2022-06-30,40.74,40.74,40.532500000000006,2.4396524363588457,2.4396524363588457,2.4272266170033117,16.6991
2022-07-01,,40.63428571428572,40.51780612244898,,2.4344444273269894,2.4274660077913763,16.6914
2022-07-02,,40.52857142857143,40.49579931972789,,2.4254856385943753,2.423524348656324,16.709466666666668
2022-07-03,,40.42285714285715,40.46647959183674,,2.4165462018423005,2.4191540250108647,16.727533333333334
